实体名称,实体类型,实体ID,属性名称,属性值
结泥饼,故障名称,58,,
总推力,掘进参数,59,表现,增加
扭矩,掘进参数,0,表现,先增后降至无速度
贯入度,掘进参数,1,表现,降低
刀盘,系统部位,2,故障表现,空转
液压系统,系统部位,3,故障表现,漏油、油高温
作业环境,系统部位,4,表现,温度升高
刀具,系统部位,5,表现,损坏
刀盘中心开口率,主要原因,6,表现,过低
塑性指数,主要原因,7,表现,过高
掘进模式,主要原因,8,表现,选择不当
液性指数,主要原因,9,表现,过高
改良剂,次要原因,10,表现,添加量不足或改良剂选用有误
土仓,次要原因,11,表现,容积过小，压力过大
刀具高差,次要原因,12,表现,不合理
搅拌系统,次要原因,13,表现,主动搅拌棒设计不合理
冲刷系统,次要原因,14,表现,压力流量大小不当
停机时间,次要原因,15,表现,停机过长
刀具布置,次要原因,16,表现,不合理
螺旋输送器,次要原因,17,表现,延伸深度不足
盾构机司机,次要原因,18,表现,经验不足
盾构设备,次要原因,19,表现,保修不到位
地下水影响,次要原因,20,,
渣土改良的效果不佳,原因,21,,
渣土改良的效果不佳,现象,22,,
土体黏度过高,现象,23,,
人工带压进仓清理,清理方法,24,方法,待上方地层及前方掌子面趋于较稳定状态时，借机置换为浓泥浆建立泥膜，降低开挖仓液位同时补气建仓，此时专业潜水员实行高压进仓，分别利用高压水枪切割、液压镐凿除、手动钢钎凿除等方式，彻底清除已经板结了的厚泥饼。
割除不受力的限径肋板,方案,25,方法,采用电刨的动火作业方式将内侧的大尺寸限径肋板割除
拆除过密的固定刮刀,方案,26,方法,将中心区域每个轨迹由原有的3对正反转固定刮刀变更为仅保留1～2对固定刮刀，多余的固定刮刀在清理干净其两侧的泥饼后，利用气动或液压扳手将其拆除
改进中心冲刷,方案,27,方法,采用分臂分时方式，提高刀盘中心体局部瞬间冲刷能量；借鉴水刀（200bar，100L/min）冷态切割经验，经过物料闸而非中心回转接头，停机切割既成泥饼；重新设计加工内带冲刷管道的中心刀筒及中心刀具，实现掘进期间连续性冲刷
气压辅助掘进,方案,28,方法,增加环压差或注入压缩空气，可以在掘进头和地层之间形成一定的气压差。这种气压差会减少土壤颗粒与盾构机刀具或刀盘表面的接触力，从而降低土壤黏附在设备表面上的可能性，减少了结泥饼的形成。
注入泡沫剂,方案,29,方法,过向盾构机的刀具或刀盘周围喷射或注入泡沫剂，可以在切削和挤压土层的同时，将土壤表面包裹在泡沫剂的泡沫中，从而减少土壤与设备表面的直接接触，防止结泥饼的形成。
增加容积,方案,30,,
延长螺旋输送机的长度,方案,31,解释,将螺旋输送机的长度适当延长可以增加土壤在输送过程中的停留时间，减少土壤与设备表面的摩擦和接触时间，从而降低结泥饼的形成可能性。
重新设计搅拌棒，提高搅拌效率和土壤均匀性,方案,32,,
定期检查和调整搅拌棒的性能,方案,33,,
加强操作员的培训,方案,34,,
使用水泵和排水系统,方案,35,,
调整刀盘设计,方案,36,,
定期评估刀盘性能,方案,37,,
土仓压力平衡,方案,38,表现,"调整盾构机推进速度和土压平衡,定期清洗和维护土仓内部设备"
注入膨润剂,方案,39,解释,改变土壤颗粒之间的相互作用，提高土壤的润湿性和流动性，从而减少土壤的黏附和压实，预防结泥饼的形成。
定期维护和检修,方案,40,,
